ns0,ew0,ns1,ew1,ns2,ew2,y
5,14,2,9,7,1,2
7,4,9,9,5,4,2
14,13,15,8,12,8,2
8,14,11,14,6,14,2
1,6,14,0,0,14,2
1,9,1,10,6,6,2
13,2,2,10,6,11,0
1,10,0,3,9,15,1
3,3,6,8,2,3,2
3,7,6,12,3,13,2
11,2,2,3,6,5,0
11,12,5,1,3,2,0
14,1,13,11,0,5,1
0,13,7,2,14,11,2
14,1,12,0,11,15,2
6,8,10,1,10,1,1
1,5,14,14,7,9,2
9,11,7,3,13,4,1
15,4,4,0,12,1,2
4,12,3,6,1,9,2
7,1,14,6,7,3,0
6,9,1,4,13,11,1
3,11,7,2,2,9,1
11,0,13,1,6,13,2
0,12,6,12,13,7,1
12,10,11,5,7,4,1
8,13,5,1,14,11,2
5,9,6,8,15,2,2
8,10,15,3,10,15,2
13,10,0,4,12,8,1
2,12,15,9,11,7,2
14,8,4,3,13,7,2
7,7,8,9,1,8,2
6,8,6,10,12,15,1
6,8,0,7,7,6,2
8,12,3,10,10,6,2
12,9,15,12,3,7,2
5,11,1,4,15,5,2
1,1,2,8,13,9,0
10,12,1,13,13,9,2
4,14,15,4,4,7,2
0,8,2,2,3,4,2
9,7,10,12,1,4,2
3,9,1,1,15,4,1
10,11,10,2,12,7,2
6,7,5,10,15,10,1
15,13,2,4,2,7,2
5,10,8,12,3,3,2
3,9,12,0,0,10,1
12,14,6,10,14,15,2
2,13,14,2,13,5,2
13,5,13,0,9,4,2
6,8,4,11,9,15,2
4,5,1,12,13,7,2
12,11,9,10,3,8,2
11,13,14,10,14,0,2
1,3,11,10,3,12,0
1,6,7,0,9,4,1
10,14,11,2,12,10,1
9,1,10,3,2,14,2
4,14,12,14,14,1,2
1,15,13,12,10,5,2
5,11,15,2,6,10,2
15,8,15,9,10,5,2
0,15,8,14,13,7,0
0,11,12,6,1,15,2
15,1,14,10,12,10,2
0,2,14,6,13,1,2
4,10,7,6,6,9,2
10,1,11,8,5,10,2
2,14,10,4,0,2,2
9,5,13,2,1,14,2
5,14,9,4,6,7,2
10,9,3,4,1,1,0
9,9,0,3,4,11,2
13,6,3,14,8,11,2
10,7,6,3,2,2,1
11,6,7,7,7,5,2
7,11,15,4,2,14,2
11,9,1,3,1,15,2
0,5,5,6,4,1,2
6,13,2,14,0,1,2
10,14,5,5,6,2,2
5,13,3,7,15,2,2
12,0,1,2,4,13,2
2,13,7,2,0,15,2
10,6,12,9,12,9,2
11,3,2,13,11,9,0
0,3,5,3,10,0,2
13,8,5,14,0,7,1
3,11,15,7,11,6,2
14,6,10,10,10,10,2
4,0,15,4,15,1,2
9,6,4,0,6,3,2
1,15,2,12,13,11,1
11,2,2,1,6,12,2
4,14,15,8,3,11,0
0,5,3,5,3,10,2
11,14,13,2,2,15,1
10,10,4,13,0,6,2
10,0,14,1,13,6,2
0,14,7,12,4,2,2
15,13,5,15,3,2,2
4,3,3,8,7,1,2
11,14,9,2,5,6,2
15,11,8,4,4,14,0
1,3,8,4,8,8,2
10,13,11,7,14,9,2
14,15,15,11,5,8,2
11,0,14,6,14,8,2
6,13,9,8,13,5,2
11,14,4,13,2,14,1
12,1,14,4,11,14,2
8,7,13,6,15,5,2
10,15,1,10,7,15,2
12,0,14,0,7,7,2
1,8,14,11,8,12,2
15,4,6,8,15,11,1
11,1,11,10,4,14,2
4,13,15,12,11,15,2
12,12,6,9,4,9,2
11,7,5,7,15,2,2
3,13,10,12,3,5,2
9,14,13,15,4,0,1
2,0,11,13,4,6,2
9,14,3,2,1,9,2
0,6,4,9,14,1,1
2,8,6,7,3,13,1
12,3,5,2,8,6,1
5,5,14,4,8,14,2
15,12,9,0,3,2,2
15,2,8,5,7,14,2
1,12,4,13,9,5,2
7,8,4,8,7,1,2
4,15,5,13,13,3,2
3,7,1,10,14,3,2
5,3,15,11,12,12,2
8,9,9,11,3,8,2
2,12,11,13,13,11,2
8,10,4,2,4,3,2
15,5,5,3,1,4,2
1,1,1,4,1,3,2
6,10,15,5,10,10,1
0,0,4,3,12,6,2
9,12,14,0,7,10,1
12,15,15,7,0,1,2
2,15,10,10,13,6,2
10,6,4,1,2,14,2
7,12,2,11,9,8,2
12,3,3,12,15,14,1
1,1,13,13,1,7,2
14,5,9,8,13,3,2
7,4,6,5,10,9,2
15,9,7,4,12,8,2
0,3,8,15,14,4,1
1,6,6,12,10,0,2
5,15,7,11,7,13,2
12,11,0,0,1,10,2
5,13,8,10,9,11,2
12,15,11,14,12,3,2
2,8,12,15,11,14,0
6,7,13,11,15,8,2
10,7,6,8,1,5,1
0,15,6,3,2,15,1
8,14,8,6,13,7,2
0,15,15,7,12,3,2
2,12,14,3,13,3,2
3,15,5,15,8,10,2
0,13,9,6,4,15,2
3,6,12,11,3,2,0
10,9,4,12,9,7,1
3,13,7,3,10,6,1
10,9,0,1,9,7,2
0,4,14,3,13,11,2
2,11,10,7,6,12,2
14,6,3,5,6,6,2
7,9,6,3,13,14,2
9,2,12,0,14,0,2
1,8,4,13,7,7,2
2,5,8,9,2,15,0
9,11,14,8,1,13,2
6,12,1,14,9,6,2
10,15,5,2,9,14,2
15,7,9,8,7,7,2
2,13,4,7,0,11,2
10,14,6,1,11,0,1
3,11,8,15,8,7,2
14,6,9,0,9,2,2
14,12,14,7,4,9,0
6,7,13,1,10,14,2
5,7,8,15,3,5,2
13,15,8,10,8,8,2
7,13,3,4,4,8,2
6,11,2,11,0,2,2
12,3,15,13,0,9,2
15,5,15,1,2,4,2
15,3,3,8,4,2,0
12,0,10,13,11,10,2
7,10,12,3,2,2,2
3,6,15,5,13,4,2
